loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
15000,36 months,14.72,517.93,C,10+ years,OWN,112000,Not Verified,debt_consolidation,21.27,1,693,59.0,Fully Paid
12900,60 months,11.84,285.91,B,2 years,MORTGAGE,128600,Source Verified,debt_consolidation,9.56,1,707,30.3,Charged Off
10600,36 months,13.8,361.25,C,10+ years,OWN,126400,Not Verified,debt_consolidation,23.47,0,690,63.9,Fully Paid
28000,36 months,8.91,889.22,B,2 years,RENT,81600,Source Verified,debt_consolidation,9.09,1,734,60.0,Charged Off
20900,36 months,17.39,749.2,E,,RENT,44600,Source Verified,debt_consolidation,25.2,1,664,56.1,Charged Off
24800,36 months,22.85,958.06,E,< 1 year,RENT,38600,Verified,home_improvement,6.73,0,649,32.3,Charged Off
19000,36 months,12.03,631.34,C,10+ years,RENT,99600,Source Verified,debt_consolidation,23.45,0,700,62.4,Charged Off
16900,36 months,11.58,557.94,B,10+ years,MORTGAGE,74700,Source Verified,credit_card,29.67,1,736,79.3,Fully Paid
15200,36 months,8.86,482.37,B,4 years,RENT,43500,Not Verified,debt_consolidation,13.97,0,699,57.4,Charged Off
4100,36 months,17.88,147.98,E,5 years,MORTGAGE,45600,Verified,debt_consolidation,9.08,0,671,64.4,Fully Paid
12300,60 months,30.0,397.95,G,7 years,MORTGAGE,68800,Verified,credit_card,9.82,0,630,60.9,Charged Off
40000,36 months,11.8,1324.75,B,6 years,MORTGAGE,59400,Source Verified,debt_consolidation,13.35,1,706,90.4,Fully Paid
11700,36 months,13.96,399.65,C,3 years,MORTGAGE,86900,Verified,credit_card,11.84,0,706,53.8,Fully Paid
28900,36 months,15.72,1012.05,C,10+ years,MORTGAGE,111700,Source Verified,debt_consolidation,11.39,0,706,47.9,Charged Off
19500,60 months,8.33,398.48,B,3 years,RENT,54600,Verified,debt_consolidation,14.82,0,712,39.5,Fully Paid
20900,60 months,13.21,477.79,B,3 years,MORTGAGE,43200,Source Verified,major_purchase,13.03,1,731,21.1,Fully Paid
14700,60 months,6.8,289.69,A,2 years,MORTGAGE,146800,Verified,debt_consolidation,27.42,0,738,71.5,Charged Off
12900,36 months,15.79,452.19,D,10+ years,RENT,43500,Not Verified,debt_consolidation,8.08,2,695,62.3,Fully Paid
12300,60 months,11.09,267.98,B,10+ years,RENT,107500,Not Verified,debt_consolidation,7.94,0,727,82.2,Fully Paid
25900,36 months,11.25,851.0,C,4 years,MORTGAGE,88100,Verified,credit_card,44.24,1,705,16.7,Fully Paid
7400,60 months,13.86,171.65,C,10+ years,MORTGAGE,84900,Verified,debt_consolidation,14.28,0,710,34.3,Fully Paid
40000,36 months,11.85,1325.71,B,,MORTGAGE,101000,Source Verified,debt_consolidation,28.08,1,719,67.0,Fully Paid
16100,36 months,6.66,494.62,A,3 years,RENT,53900,Verified,small_business,24.99,0,739,65.6,Fully Paid
7000,36 months,14.42,240.67,C,5 years,MORTGAGE,55200,Verified,debt_consolidation,7.02,1,692,62.4,Charged Off
12900,36 months,10.36,418.43,B,2 years,RENT,50500,Source Verified,debt_consolidation,21.86,0,709,51.5,Charged Off
21900,60 months,20.73,589.15,E,10+ years,MORTGAGE,74500,Not Verified,other,14.07,0,674,26.9,Charged Off
7900,36 months,5.8,239.62,A,6 years,MORTGAGE,136500,Verified,debt_consolidation,8.21,0,744,44.8,Fully Paid
13800,36 months,15.33,480.61,D,10+ years,RENT,27400,Source Verified,debt_consolidation,21.09,1,695,72.4,Charged Off
7400,36 months,14.14,253.42,C,4 years,MORTGAGE,48100,Source Verified,debt_consolidation,12.87,0,684,69.7,Fully Paid
34000,60 months,9.17,708.59,B,5 years,MORTGAGE,66300,Source Verified,credit_card,16.23,0,740,61.1,Charged Off
6100,36 months,9.94,196.66,B,< 1 year,MORTGAGE,37300,Verified,credit_card,27.26,1,724,33.2,Fully Paid
5500,36 months,12.51,184.02,C,,MORTGAGE,112400,Source Verified,credit_card,16.96,0,705,21.3,Fully Paid
5800,60 months,9.67,122.29,B,1 year,MORTGAGE,80100,Verified,home_improvement,7.19,2,720,44.3,Charged Off
13300,36 months,15.05,461.37,D,10+ years,RENT,57700,Verified,debt_consolidation,24.5,0,693,23.4,Fully Paid
40000,60 months,14.29,936.75,C,10+ years,MORTGAGE,214900,Verified,credit_card,17.23,0,721,,Charged Off
9500,36 months,14.22,325.7,C,10+ years,MORTGAGE,133200,Verified,debt_consolidation,8.04,0,723,41.7,Fully Paid
27200,36 months,14.77,939.84,C,1 year,MORTGAGE,167500,Source Verified,debt_consolidation,9.28,0,715,56.2,Charged Off
4500,36 months,12.83,151.25,B,2 years,RENT,128900,Verified,debt_consolidation,13.38,0,722,50.1,Charged Off
5100,36 months,11.41,167.96,B,8 years,MORTGAGE,53000,Source Verified,debt_consolidation,19.28,0,714,73.0,Charged Off
10100,36 months,8.9,320.71,B,10+ years,MORTGAGE,46200,Not Verified,credit_card,23.54,0,724,53.0,Charged Off
13600,36 months,5.96,413.49,A,9 years,MORTGAGE,83100,Verified,credit_card,15.86,0,740,44.8,Fully Paid
35200,60 months,7.82,710.7,A,9 years,RENT,43900,Not Verified,home_improvement,12.16,1,741,38.3,Fully Paid
14000,36 months,12.85,470.7,C,10+ years,MORTGAGE,77300,Not Verified,debt_consolidation,34.26,0,730,56.4,Fully Paid
7600,36 months,16.09,267.53,C,1 year,RENT,71600,Not Verified,debt_consolidation,16.97,0,689,50.6,Charged Off
